gene,TE
narQ,0.35
narU,NA
narV,NA
narW,NA
narX,0.26
narY,NA
narZ,NA
ndh,2.25
ndk,3.65
nei,0.86
nemA,1.86
nemR,NA
nepI,0.8
nfi,0.21
nfo,2.07
nfrA,0.43
nfrB,0.1
nfsA,2.4
nfsB,3.35
nfuA,3.24
nhaA,1.06
nhaB,1.14
nhaR,0.43
nhoA,NA
nikA,NA
nikB,NA
nikC,NA
nikD,NA
nikE,NA
nikR,2.75
ninE,NA
nirB,NA
nirC,0.77
nirD,NA
nlpA,1.26
nlpC,0.71
nlpD,0.48
nlpE,1.11
nlpI,0.05
nohD,NA
norR,0.53
norV,NA
norW,NA
npr,0.6
nrdA,1.6
nrdB,1.17
nrdD,1.25
nrdE,0.47
nrdF,NA
nrdG,NA
nrdH,NA
nrdI,0.21
nrdR,0.46
nrfA,NA
nrfB,NA
nrfC,NA
nrfD,NA
nrfE,NA
nrfF,NA
nrfG,NA
nsrR,0.36
nth,1.01
nudB,0.06
nudC,1.17
nudE,0.68
nudF,1.16
nudG,NA
nudI,NA
nudJ,0.84
nudK,1.77
nudL,0.4
nuoA,0.78
nuoB,0.81
nuoC,0.7
nuoE,0.86
nuoF,0.57
nuoG,0.58
nuoH,0.36
nuoI,0.61
nuoJ,0.3
nuoK,0.35
nuoL,0.39
nuoM,0.64
nuoN,0.68
nupC,1.1
nupG,0.86
nupX,NA
nusA,1.2
nusB,1.12
nusG,1.12
obgE,1.2
ogrK,NA
ogt,NA
ompA,2.11
ompC,2.56
ompF,2.47
ompG,NA
ompL,NA
ompN,NA
ompR,1.58
ompT,2.55
ompW,NA
ompX,3.38
opgB,0.53
opgC,0.89
opgD,1.1
opgG,1.78
opgH,0.55
oppA,2.04
oppB,0.53
oppC,0.53
oppD,0.75
oppF,0.85
orn,3.06
osmB,NA
osmC,NA
osmE,2.3
osmF,NA
osmY,3.13
otsA,NA
otsB,NA
oxc,NA
oxyR,1.4
paaA,NA
paaB,NA
paaC,NA
paaD,NA
paaE,NA
paaF,NA
paaG,NA
paaH,NA
paaI,NA
paaJ,NA
paaK,NA
paaX,1.05
paaY,1.06
paaZ,NA
pabA,0.82
pabB,1.23
pabC,0.19
pagP,NA
pal,2.85
panB,3.08
panC,1.18
panD,2.26
panE,0.99
panF,0.41
paoA,NA
paoB,NA
paoC,NA
paoD,NA
parC,0.83
parE,1.23
patA,NA
pbpC,0.19
pbpG,1.55
pck,2.31
pcm,0.42
pcnB,0.54
pdhR,0.32
pdxA,0.17
pdxB,1.01
pdxH,1.45
pdxJ,2.09
pdxK,2.2
pdxY,1.47
pepA,0.91
pepB,1.56
pepD,2.25
pepE,NA
pepN,2.13
pepP,0.7
pepQ,1.64
pepT,1.17
perR,NA
pfkA,1.9
pfkB,2.33
pflA,2.33
pflB,1.95
pflC,NA
pflD,NA
pgaA,NA
pgaB,NA
pgaC,NA
pgaD,NA
pgi,2.37
pgk,2.62
pgl,2.34
pgm,1.09
pgpA,0.41
pgpB,0.37
pgsA,1.23
pheA,2.03
pheL,0.13
pheM,NA
pheP,0.66
pheS,1.67
pheT,1.47
phnC,NA
phnD,NA
phnF,NA
